NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
TORRE,FREGUESIA,156085,173329,"11,05 %",17637,18730,"6,20 %","29,93 %","29,85 %","-0,08","2088,58","2038,70","-2,39 %","74,73","85,02","13,76 %"
TORRE,MARACANA,249942,255132,"2,08 %",25773,25224,"-2,13 %","30,26 %","32,25 %","1,99","2482,65","2462,87","-0,80 %","100,68","103,59","2,90 %"
TORRE,MARE,131911,87835,"-33,41 %",17847,13165,"-26,24 %","22,97 %","26,69 %","3,72","1687,00","1516,00","-10,14 %","78,19","57,94","-25,90 %"
TORRE,MARIA DA GRACA,420434,425470,"1,20 %",51731,51781,"0,10 %","25,25 %","25,82 %","0,58","3465,60","3385,91","-2,30 %","121,32","125,66","3,58 %"
TORRE,MERCK,239086,186536,"-21,98 %",32217,23070,"-28,39 %","25,06 %","28,11 %","3,05","3392,00","2792,00","-17,69 %","70,49","66,81","-5,21 %"
TORRE,NOVA IGUACU,308011,339829,"10,33 %",33433,36240,"8,39 %","30,26 %","30,58 %","0,32","3121,83","3323,79","6,47 %","98,66","102,24","3,63 %"
TORRE,NOVA IGUACU CALCADAO,241136,225680,"-6,41 %",31625,28508,"-9,86 %","24,07 %","26,82 %","2,75","3481,76","3131,93","-10,05 %","69,26","72,06","4,04 %"
TORRE,PARK SHOPPING,208897,235618,"12,79 %",25592,27894,"8,99 %","26,48 %","30,09 %","3,61","2665,00","3040,00","14,07 %","78,39","77,51","-1,12 %"
TORRE,PILARES,316883,329538,"3,99 %",41295,41931,"1,54 %","25,12 %","28,02 %","2,90","3673,00","3913,00","6,53 %","86,27","84,22","-2,38 %"
TORRE,PRACA DAS NACOES,244183,235566,"-3,53 %",31370,30265,"-3,52 %","28,26 %","28,38 %","0,11","3658,00","3442,00","-5,90 %","66,75","68,44","2,53 %"
TORRE,PRACA SECA,278031,284648,"2,38 %",36187,38502,"6,40 %","27,05 %","27,59 %","0,54","3968,56","3919,85","-1,23 %","70,06","72,62","3,65 %"
TORRE,RIO DAS PEDRA,492456,415211,"-15,69 %",60646,53267,"-12,17 %","24,54 %","26,61 %","2,07","3882,83","3476,81","-10,46 %","126,83","119,42","-5,84 %"
TORRE,SAO CONRADO 1,482345,412328,"-14,52 %",57130,49500,"-13,36 %","25,95 %","27,45 %","1,50","3304,00","3159,00","-4,39 %","145,99","130,52","-10,59 %"
TORRE,SAO CONRADO 2,273443,265680,"-2,84 %",29833,29816,"-0,06 %","27,42 %","29,14 %","1,73","2557,00","2468,81","-3,45 %","106,94","107,61","0,63 %"
TORRE,TAQUARA,270728,284245,"4,99 %",28589,32283,"12,92 %","28,22 %","28,47 %","0,26","2327,00","2406,95","3,44 %","116,34","118,09","1,51 %"
TORRE,TIJUCA,345073,374024,"8,39 %",39925,42822,"7,26 %","30,11 %","30,58 %","0,47","5082,00","4944,00","-2,72 %","67,90","75,65","11,42 %"
TORRE,VILA DO JOAO,275920,238695,"-13,49 %",34496,32356,"-6,20 %","23,57 %","26,90 %","3,33","3402,00","3247,00","-4,56 %","81,11","73,51","-9,36 %"
