NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
PADRAO,BARRETO,1014759,933018,"-8,06 %",152374,136341,"-10,52 %","22,50 %","23,40 %","0,90","14199,00","13314,00","-6,23 %","71,47","70,08","-1,94 %"
PADRAO,CD PAVUNA,1747808,174398,"-90,02 %",81155,47520,"-41,45 %","-8,68 %","-15,19 %","-6,51","25,00","2,00","-92,00 %","69912,33","87199,20","24,73 %"
PADRAO,ENGENHO DO MATO,821829,853189,"3,82 %",124630,126147,"1,22 %","25,69 %","26,07 %","0,38","12424,00","12190,00","-1,88 %","66,15","69,99","5,81 %"
PADRAO,FONSECA,1283385,1420100,"10,65 %",204890,221306,"8,01 %","21,60 %","22,89 %","1,29","18513,00","19872,18","7,34 %","69,32","71,46","3,08 %"
PADRAO,INHAUMA,985717,862656,"-12,48 %",143941,122550,"-14,86 %","22,04 %","22,96 %","0,92","13817,00","12527,00","-9,34 %","71,34","68,86","-3,47 %"
PADRAO,ITAIPU,1606696,1504525,"-6,36 %",223604,201691,"-9,80 %","23,00 %","23,88 %","0,88","15517,00","14154,00","-8,78 %","103,54","106,30","2,66 %"
PADRAO,LARGO DA BATALHA,2776288,2558283,"-7,85 %",418720,381719,"-8,84 %","22,05 %","22,42 %","0,37","25538,00","22960,00","-10,09 %","108,71","111,42","2,49 %"
PADRAO,LOTE XV,2744484,2452445,"-10,64 %",421207,374085,"-11,19 %","20,64 %","21,38 %","0,74","29859,00","26834,00","-10,13 %","91,91","91,39","-0,57 %"
PADRAO,MESQUITA,2285716,1749284,"-23,47 %",355965,265882,"-25,31 %","20,99 %","21,22 %","0,23","24624,00","19458,00","-20,98 %","92,82","89,90","-3,15 %"
PADRAO,NOVA AMERICA,1272147,1223825,"-3,80 %",175047,163769,"-6,44 %","25,96 %","26,63 %","0,67","22312,82","22030,00","-1,27 %","57,01","55,55","-2,56 %"
PADRAO,NOVA IGUACU,1870540,1629181,"-12,90 %",281736,246711,"-12,43 %","21,74 %","22,08 %","0,34","19941,00","17593,00","-11,77 %","93,80","92,60","-1,28 %"
PADRAO,PENHA - CURTUME,1173670,1087110,"-7,38 %",166914,153873,"-7,81 %","23,57 %","23,52 %","-0,05","14321,00","13710,00","-4,27 %","81,95","79,29","-3,25 %"
PADRAO,PIRATININGA,2155178,1868708,"-13,29 %",283719,239780,"-15,49 %","24,96 %","25,83 %","0,87","17517,93","15955,00","-8,92 %","123,03","117,12","-4,80 %"
PADRAO,PORTO NOVO,1074176,915954,"-14,73 %",168582,138442,"-17,88 %","19,89 %","21,23 %","1,33","13702,00","11777,00","-14,05 %","78,40","77,77","-0,79 %"
PADRAO,PORTO VELHO,1379640,1192603,"-13,56 %",196974,172712,"-12,32 %","20,59 %","22,13 %","1,54","15567,00","14131,00","-9,22 %","88,63","84,40","-4,77 %"
PADRAO,STA CRUZ DA SERRA,1094733,874594,"-20,11 %",178547,140495,"-21,31 %","15,87 %","14,75 %","-1,12","12781,00","10969,00","-14,18 %","85,65","79,73","-6,91 %"
PADRAO,VALVERDE,2458563,2209958,"-10,11 %",380021,330467,"-13,04 %","18,72 %","20,42 %","1,71","21545,00","19751,00","-8,33 %","114,11","111,89","-1,95 %"
RAMIGOS,ANCHIETA,2614475,2204560,"-15,68 %",385220,309785,"-19,58 %","20,61 %","23,77 %","3,16","22665,61","19704,69","-13,06 %","115,35","111,88","-3,01 %"
RAMIGOS,BANGU,936991,856051,"-8,64 %",147200,129087,"-12,31 %","18,50 %","21,88 %","3,39","12480,00","11657,85","-6,59 %","75,08","73,43","-2,20 %"
RAMIGOS,COSMOS,1565211,1348265,"-13,86 %",252540,204334,"-19,09 %","18,37 %","21,81 %","3,44","17936,00","15866,00","-11,54 %","87,27","84,98","-2,62 %"
RAMIGOS,GA - FRAGOSO,901857,740409,"-17,90 %",156350,122479,"-21,66 %","20,54 %","23,44 %","2,90","13210,74","11053,69","-16,33 %","68,27","66,98","-1,88 %"
RAMIGOS,GA - PIABETA (INHOMIRIM),2482935,2419961,"-2,54 %",388711,361890,"-6,90 %","21,80 %","24,71 %","2,91","20537,78","19351,79","-5,77 %","120,90","125,05","3,44 %"
RAMIGOS,JARDIM REDENTOR,1742817,1578391,"-9,43 %",277562,240137,"-13,48 %","19,60 %","22,49 %","2,89","18934,00","17452,45","-7,82 %","92,05","90,44","-1,75 %"
RAMIGOS,RIGAAS - BENFICA,537018,587695,"9,44 %",85537,92066,"7,63 %","21,20 %","25,88 %","4,68","9374,33","11050,58","17,88 %","57,29","53,18","-7,16 %"
RAMIGOS,SEPETIBAO,856372,707301,"-17,41 %",151626,117136,"-22,75 %","19,77 %","23,51 %","3,74","11198,00","9801,00","-12,48 %","76,48","72,17","-5,63 %"
