NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
FENIX,FENIX - NOVA BRASILIA,681723,616503,"-9,57 %",121379,103353,"-14,85 %","23,72 %","31,37 %","7,65","17769,71","15883,00","-10,62 %","38,36","38,82","1,18 %"
FENIX,FENIX - VL DA PENHA QUITUNGO,860922,791311,"-8,09 %",154911,132010,"-14,78 %","26,97 %","18,71 %","-8,26","15194,00","12720,00","-16,28 %","56,66","62,21","9,79 %"
FLORESTA,ATERRADO - V.REDONDA,1012913,1138085,"12,36 %",132444,151934,"14,72 %","27,36 %","27,34 %","-0,02","11777,00","10732,84","-8,87 %","86,01","106,04","23,29 %"
FLORESTA,CD - FLORESTA,110796,107534,"-2,94 %",18956,18679,"-1,46 %","22,62 %","20,75 %","-1,87","16,29","17,37","6,66 %","6803,23","6190,44","-9,01 %"
FLORESTA,CENTRO - B.MANSA,691211,621643,"-10,06 %",100820,97193,"-3,60 %","27,59 %","25,62 %","-1,98","11390,00","10122,00","-11,13 %","60,69","61,42","1,20 %"
FLORESTA,CENTRO - RESENDE,564439,486173,"-13,87 %",79589,70427,"-11,51 %","29,01 %","26,53 %","-2,48","8979,94","7301,93","-18,69 %","62,86","66,58","5,93 %"
FLORESTA,CENTRO - V.REDONDA,434772,400696,"-7,84 %",62314,60587,"-2,77 %","30,60 %","27,56 %","-3,04","8685,96","7362,00","-15,24 %","50,05","54,43","8,74 %"
FLORESTA,CENTRO - VALENCA,456064,431867,"-5,31 %",71629,69575,"-2,87 %","26,02 %","21,06 %","-4,96","7953,00","6630,88","-16,62 %","57,34","65,13","13,58 %"
FLORESTA,RETIRO - V.REDONDA,595642,506962,"-14,89 %",84435,74714,"-11,51 %","27,30 %","25,45 %","-1,85","8029,00","6438,00","-19,82 %","74,19","78,75","6,15 %"
FLORESTA,ROLAMAO - PINHEIRAL,377460,353226,"-6,42 %",53569,51963,"-3,00 %","27,97 %","24,65 %","-3,33","4606,00","4165,00","-9,57 %","81,95","84,81","3,49 %"
FLORESTA,S CECILIA - V.REDONDA,505799,442207,"-12,57 %",65924,61944,"-6,04 %","30,02 %","27,36 %","-2,66","7069,00","5847,93","-17,27 %","71,55","75,62","5,68 %"
FLORESTA,SAO LUCAS - V.REDONDA,193563,183022,"-5,45 %",28927,28781,"-0,50 %","25,80 %","21,44 %","-4,37","4140,00","3545,00","-14,37 %","46,75","51,63","10,42 %"
FLORESTA,SAVIO GAMA - V.REDOND,1233476,949903,"-22,99 %",174641,143825,"-17,65 %","29,22 %","26,14 %","-3,08","15842,95","11564,78","-27,00 %","77,86","82,14","5,50 %"
GMAP,ALCANTARA,2084162,1684684,"-19,17 %",281396,223228,"-20,67 %","28,92 %","30,49 %","1,57","33929,77","26255,00","-22,62 %","61,43","64,17","4,46 %"
GMAP,BANDEIRANTES S.GONCALO,1213170,1108933,"-8,59 %",160817,144207,"-10,33 %","29,22 %","31,48 %","2,26","14647,75","12709,00","-13,24 %","82,82","87,26","5,35 %"
GMAP,BANGU,1369517,1224871,"-10,56 %",172290,145993,"-15,26 %","28,76 %","30,22 %","1,46","20579,73","17069,00","-17,06 %","66,55","71,76","7,83 %"
GMAP,CENTRO MARICA,3545529,3091108,"-12,82 %",396532,333594,"-15,87 %","29,92 %","31,88 %","1,96","24819,92","22156,00","-10,73 %","142,85","139,52","-2,33 %"
