Nome_Departamento,Nome_Secao,Nome_Grupo,Nome_SubGrupo,NomeLoja,NomeAssociado,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual Trigger,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd,A.V. Venda Anterior,A.V. Venda Atual
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MARIA DA GRACA,TORRE,954,1024,"7,34 %",184,106,"-42,39 %","32,31 %","34,49 %","2,18","16,32","10,42","-36,13 %","58,44","98,21","68,06 %","1,43 %","1,45 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MARICÁ,ALVORADA,31,,"-100,00 %",7,,"-100,00 %","36,33 %",,"-36,33","0,75",,"-100,00 %","40,81",,"-100,00 %","0,14 %",
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MARICA - CORDEIRINHO,ALVORADA,335,128,"-61,85 %",33,14,"-57,58 %","31,51 %","29,67 %","-1,84","5,31","0,58","-89,13 %","63,04","221,15","250,82 %","1,51 %","0,72 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MERCK,TORRE,348,515,"47,96 %",64,58,"-9,38 %","34,55 %","34,71 %","0,16","8,87","6,83","-22,92 %","39,29","75,41","91,94 %","0,83 %","1,68 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,MESQUITA,PADRAO,147,68,"-53,96 %",14,7,"-50,00 %","37,61 %","46,59 %","8,98","2,17","0,60","-72,43 %","67,91","113,43","67,04 %","0,25 %","0,17 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,NDP - NILOPOLIS ,NDP,255,53,"-79,25 %",45,8,"-82,22 %","33,03 %","35,82 %","2,79","4,05","0,61","-84,91 %","62,95","86,54","37,49 %","0,68 %","0,18 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,NDP - PARQUE ANCHIETA,NDP,115,5,"-96,01 %",18,1,"-94,44 %","32,24 %","43,57 %","11,33","1,76","0,06","-96,83 %","65,50","82,62","26,13 %","0,62 %","0,03 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,NOVA AMERICA,PADRAO,120,82,"-31,60 %",12,8,"-33,33 %","38,85 %","40,30 %","1,45","0,82","1,44","75,63 %","145,98","56,85","-61,05 %","0,46 %","0,31 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,NOVA CIDADE,ALVORADA,71,50,"-29,97 %",14,5,"-64,29 %","36,08 %","43,63 %","7,55","2,51","0,60","-75,95 %","28,38","82,63","191,14 %","0,28 %","0,26 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,NOVA FRIBURGO,GMAP,334,804,"140,55 %",35,116,"231,43 %","37,29 %","34,16 %","-3,14","2,86","7,75","171,03 %","116,77","103,64","-11,25 %","0,51 %","1,64 %"
